Paises 2020/1 2020/2 2020/3 2020/4 2021/1 2021/2 2021/3 2021/4 2022/1 2022/2 2022/3 2022/4
Belgica -3.4 -11.8 11.6 0.2 0.0 0.7 1.4 0.8 0.7 0.7 0.7 0.6
Alemania -2.0 -9.7 8.5 0.1 -1.2 1.9 2.6 0.7 0.4 0.4 0.4 0.4
Estonia -0.8 -5.5 3.3 -0.4 -0.2 0.8 4.1 0.6 0.4 0.5 0.5 0.5
Irlanda -3.5 -3.2 11.1 -0.8 -1.6 0.1 2.1 0.6 0.8 0.7 0.7 0.7
Grecia 0.1 -14.1 2.3 : : : : : : : : :
España -5.3 -17.9 16.4 0.4 -0.4 0.9 3.8 2.1 0.8 0.5 0.5 0.6
Francia -5.9 -13.7 18.5 -1.3 -1.3 1.0 4.4 0.9 0.7 0.5 0.4 0.3
Italia -5.5 -13.0 16.0 -2.0 -0.4 0.5 2.0 1.0 0.7 0.7 0.6 0.6
Chipre -0.9 -13.1 9.4 : : : : : : : : :
Letonia -2.3 -7.1 7.1 1.1 -0.4 0.3 2.1 0.6 0.6 0.6 0.6 0.6
Lithuania 0.0 -5.9 3.8 1.2 -0.5 0.4 3.1 0.5 0.5 0.5 0.4 0.4
Luxemburgo -1.5 -7.4 9.8 : : : : : : : : :
Malta -2.7 -17.1 12.7 : : : : : : : : :
Holanda -1.5 -8.5 7.8 -1.3 -1.0 1.4 2.4 0.7 0.4 0.4 0.4 0.4
Austria -2.8 -11.6 12.0 -4.3 -1.4 2.2 4.3 1.2 0.6 0.6 0.6 0.6
Portugal -4.0 -13.9 13.3 0.4 -2.1 1.8 4.1 0.8 0.6 0.5 0.5 0.5
Eslovenia -4.7 -9.8 12.4 -2.3 -0.2 1.4 4.2 0.9 0.8 0.8 0.8 0.8
Eslovaquia -5.1 -8.3 11.6 -2.6 -1.0 2.3 3.3 1.2 0.9 0.9 0.8 0.7
Finlandia -1.5 -3.9 3.2 0.0 0.8 0.8 1.3 0.4 0.4 0.4 0.3 0.2
EuroArea -3.7 -11.7 12.4 -0.7 -0.9 1.2 3.0 1.0 0.6 0.5 0.5 0.5
Bulgaria 0.4 -10.1 4.3 -2.2 0.8 1.5 5.5 1.4 0.3 0.3 0.3 0.3
Checoslovaquia -3.3 -8.5 6.9 0.3 -1.3 1.9 2.9 1.1 1.0 0.9 0.7 0.6
Dinamarca -1.5 -7.1 5.2 1.0 -0.4 1.2 1.6 0.8 0.7 0.7 0.7 0.7
Croacia -1.3 -15.0 6.9 -0.8 0.3 5.3 7.5 0.4 0.1 0.2 0.1 0.1
Hungría -0.4 -14.6 11.4 -0.2 -0.4 2.2 2.6 1.3 0.9 0.9 0.9 0.9
Polonia -0.3 -9.0 7.9 -2.2 -0.4 2.2 3.8 1.0 0.8 0.8 0.8 0.8
Rumania 0.0 -12.2 5.8 0.6 0.4 1.8 3.6 1.2 0.4 0.4 0.3 0.4
Suecia 0.3 -8.0 4.9 0.5 -0.1 0.7 2.6 1.3 0.6 0.6 0.6 0.6
UE -3.3 -11.4 11.5 -0.5 -0.8 1.3 3.0 1.0 0.6 0.5 0.5 0.5
